ID,Servicing,FcstPeriod,StationName,newNormal,new75PctNormal
RRHW1,OTX,APR-SEP,COLUMBIA - ROCKY REACH DAM,66538,49903.5
RSBO3,MFR,APR-SEP,S UMPQUA - AT ROSEBURG,455,341.25
RYGO3,MFR,APR-SEP,ROGUE - AT RAYGOLD,887,665.25
SAKW1,SEW,APR-SEP,SAUK - NEAR SAUK,1641,1230.75
SALW4,RIW,APR-SEP,SALT - ABV PALISADES RES NR ETNA,445,333.75
SATI1,OTX,APR-SEP,ST MARIES - NEAR SANTA,132,99
SATW1,SEW,APR-SEP,SATSOP - NEAR SATSOP,312,234
SCOO3,PQR,APR-SEP,SCOGGINS CREEK - NEAR GASTON,15.2,11.4
SCRO3,MFR,APR-SEP,STEAMBOAT CREEK - NEAR GLIDE,134,100.5
SELI1,MSO,APR-SEP,SELWAY - NEAR LOWELL,2100,1575
SERO3,PDT,APR-SEP,JOHN DAY - AT SERVICE CK,831,623.25
SFLN2,PIH,APR-SEP,SALMON FALLS CREEK - NR SAN JACINTO,75.23,56.4225
SHDW1,SEW,APR-SEP,BAKER - LAKE SHANNON,1025,768.75
SHYI1,PIH,APR-SEP,SNAKE - NEAR SHELLEY,5938,4453.5
SIFI1,PIH,APR-SEP,SNAKE - AB EAGLE ROCK NR IDAHO FALLS,5800,4350
SILO3,PQR,APR-SEP,SILETZ - AT SILETZ,208,156
SKOW1,SEW,APR-SEP,NF SKOKOMISH - BELOW STAIRCASE RAPIDS NEAR HOODSPORT,135,101.25
SLCQ2,CAN,APR-SEP,SLOCAN - NEAR CRESCENT VALLEY,1933,1449.75
SLKW1,SEW,APR-SEP,SULTAN - SPADA LAKE,186,139.5
SLMO3,PQR,APR-SEP,WILLAMETTE - AT SALEM,5119,3839.25
SLTW1,SEW,APR-SEP,SULTAN - NEAR SULTAN,235,176.25
SMKQ2,CAN,APR-SEP,SIMILKAMEEN - NEAR HEDLEY,1004,753
SMNI1,MSO,APR-SEP,SALMON - AT SALMON,999,749.25
SMRW1,SEW,APR-SEP,SAMISH - NEAR BURLINGTON,45.84,34.38
SNAI1,PIH,APR-SEP,SNAKE - AT BLACKFOOT,5940,4455
SNDO3,PQR,APR-SEP,SANDY - SANDY,566,424.5
SNQW1,SEW,APR-SEP,NF SNOQUALMIE - NEAR SNOQUALMIE FALLS,151,113.25
SNYI1,BOI,APR-SEP,SNAKE - AT NYSSA,5360,4020
SPDI1,OTX,APR-SEP,CLEARWATER - AT SPALDING,7428,5571
SPEW1,SEW,APR-SEP,SOUTH PRAIRIE - AT SOUTH PRAIRIE,58.46,43.845
SPOW1,OTX,APR-SEP,SPOKANE - AT SPOKANE,2589,1941.75
SPRO3,PQR,APR-SEP,MOHAWK - NEAR SPRINGFIELD,89.83,67.3725
SQUW1,SEW,APR-SEP,SNOQUALMIE - NEAR SNOQUALMIE,807,605.25
SRGM8,MSO,APR-SEP,CLARK FORK - AT ST REGIS,3895,2921.25
SRLM8,MSO,APR-SEP,STILLWATER - NEAR LAWRENCE PARK,204,153
SRMO3,PQR,APR-SEP,SANDY - NEAR MARMOT,358,268.5
SRMW1,SEW,APR-SEP,SKAGIT - AT MARBLEMOUNT,2597,1947.75
SSUW1,SEW,APR-SEP,SF SKOKOMISH - NEAR UNION,120,90
STHW1,OTX,APR-SEP,STEHEKIN - AT STEHEKIN,814,610.5
STII1,BOI,APR-SEP,SF CLEARWATER - AT STITES,502,376.5
STRM8,MSO,APR-SEP,ST. REGIS - NEAR ST. REGIS,284,213
SUVO3,PQR,APR-SEP,LUCKIAMUTE - NEAR SUVER,104,78
SWAI1,BOI,APR-SEP,SNAKE - BELOW SWAN FALLS,3635,2726.25
SWRM8,MSO,APR-SEP,SWAN - NEAR BIGFORK,621,465.75
